,random,X,CAD.CDW.ID,CAD.Event.Number,General.Offense.Number,Event.Clearance.Code,Event.Clearance.Description,Event.Clearance.SubGroup,Event.Clearance.Group,Event.Clearance.Date,Hundred.Block.Location,District.Sector,Zone.Beat,Census.Tract,Longitude,Latitude,Incident.Location,Initial.Type.Description,Initial.Type.Subgroup,Initial.Type.Group,At.Scene.Time
32781,0.049487522,1409653,1139357,15000226314,2015226314,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,7/3/2015 23:10,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.3308075,47.60046424,"(47.600464242, -122.330807499)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,7/3/2015 20:21
36601,0.368236527,433239,795676,12000144732,2012144732,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF ",5/11/2012 12:12,77XX BLOCK OF 12TH AVE SW,F,F3,11300.5001,-122.3505655,47.53297349,"(47.53297349, -122.350565535)",,,,
24375,0.345671985,135554,383295,11000216953,2011216953,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,7/5/2011 11:33,41XX BLOCK OF 12TH AVE NE,U,U2,5301.4003,-122.3154167,47.73169353,"(47.731693525, -122.31541665)",,,,
13941,0.940345697,1417202,1944800,17000070022,201770022,161,TRESPASS,TRESPASS,TRESPASS,2/26/2017 1:16,8XX BLOCK OF PIKE ST,M,M2,8200.1007,-122.33169,47.612305,"(47.612305, -122.33169)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
11249,0.33513821,763124,1491686,15000250923,2015250923,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,7/22/2015 3:29,WEST SEATTLE BR / WB,W,W1,9300.3138,-122.3495139,47.57101263,"(47.571012626, -122.349513948)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1139,0.801699925,293539,629255,11000187096,2011187096,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,6/11/2011 13:33,47XX BLOCK OF BEACON AVE S,R,R2,10000.2,-122.2883282,47.53203009,"(47.532030085, -122.288328154)",,,,
44482,0.132932821,1271953,2247965,15000015924,201515924,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,1/15/2015 9:01,42XX BLOCK OF 8 AV NE,U,U2,5200.1003,-122.3197864,47.65848896,"(47.658488958, -122.319786353)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
19245,0.188721583,89604,107390,10000380399,2010380399,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,10/31/2010 12:21,2XX BLOCK OF YESLER WAY,K,K2,9200.2002,-122.3311241,47.60171757,"(47.601717571, -122.331124149)",,,,
37295,0.664798115,361505,718557,12000025257,201225257,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,1/27/2012 2:54,17XX BLOCK OF NE 55TH ST,U,U3,4400.2007,-122.3088434,47.66853861,"(47.668538614, -122.308843375)",,,,
19978,0.757790166,871456,1517268,15000282350,2015282350,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",8/14/2015 11:29,8XX BLOCK OF VIRGINIA ST,D,D2,7300.3022,-122.3361655,47.6160533,"(47.616053296, -122.336165511)","HARAS - NO BIAS, THREATS OR MALICIOUSNESS","THREATS, HARASSMENT","THREATS, HARASSMENT",
19843,0.706580457,599800,1718458,16000135905,2016135905,350,HAZARDS,HAZARDS,HAZARDS,4/20/2016 10:03,BALLARD BR / SB,B,B2,4700.2076,-122.37622,47.660515,"(47.660515, -122.37622)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,4/20/2016 8:20
40913,0.522862047,1086984,1958390,17000096428,201796428,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,3/18/2017 20:53,5 AV / DENNY WY,D,D2,7200.3001,-122.347626,47.618572,"(47.618572, -122.347626)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
14226,0.468134911,1133385,2105235,17000364487,2017364487,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,9/30/2017 22:24,FAUNTLEROY PL SW / FAUNTLEROY WY SW,W,W3,11600.5003,-122.39274,47.52852,"(47.52852, -122.39274)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
31644,0.353172203,1244527,2219202,18000086146,201886146,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,3/10/2018 1:09,FAUNTLEROY WY SW / SW FONTANELLE ST,W,W3,11600.6008,-122.39194,47.537003,"(47.537003, -122.39194)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
48041,0.440485931,1209830,2128780,17000407939,2017407939,246,"NOISE DISTURBANCE, RESIDENTIAL",NOISE DISTURBANCE,DISTURBANCES,11/3/2017 0:45,14XX BLOCK OF N 40 ST,B,B3,5400.1004,-122.34042,47.65567,"(47.65567, -122.34042)",NOISE - ANIMAL (INCLUDES BARKING DOGS),DISTURBANCES,NOISE DISTURBANCE,
8982,0.455926688,460637,824826,12000185446,2012185446,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,6/14/2012 10:01,46XX BLOCK OF MARTIN LUTHER KING JR WAY S,R,R2,10100.3014,-122.2905928,47.55615104,"(47.556151036, -122.290592843)",,,,
5118,0.404228722,868390,2176767,18000017570,201817570,161,TRESPASS,TRESPASS,TRESPASS,1/15/2018 6:42,4XX BLOCK OF 1 AV N,Q,Q3,7100.2011,-122.35542,47.62269,"(47.62269, -122.35542)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,1/15/2018 6:30
4961,0.034531063,1205600,2192958,17000190016,2017190016,64,SHOPLIFT,THEFT,SHOPLIFTING,5/28/2017 19:56,14XX BLOCK OF S LANE ST,K,K3,9000.2033,-122.31344,47.596653,"(47.596653, -122.31344)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,
3994,0.867991206,820292,1860692,16000382325,2016382325,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,10/22/2016 9:57,57XX BLOCK OF W GREEN LAKE WY N,J,J3,4600.1001,-122.34323,47.67205,"(47.67205, -122.34323)","LEWD - (EXPOSING, FLASHING, URINATING IN PUB)",LEWD CONDUCT,SUSPICIOUS CIRCUMSTANCES,10/22/2016 9:03
2109,0.582452877,792118,1543579,15000314291,2015314291,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,9/8/2015 0:40,104XX BLOCK OF GREENWOOD AV N,J,J1,1701.3002,-122.3554489,47.7047213,"(47.704721296, -122.355448947)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
3510,0.380090077,342229,697965,11000412013,2011412013,72,AUTO THEFT AND RECOVERY,AUTO RECOVERIES,AUTO THEFTS,12/26/2011 11:41,104XX BLOCK OF MAPLEWOOD PL SW,W,W3,12100.1002,-122.391436,47.50945925,"(47.509459245, -122.391435993)",,,,
8832,0.63638187,401466,761339,12000089820,201289820,243,JUVENILE DISTURBANCE,DISTURBANCES,DISTURBANCES,3/24/2012 22:19,NW 92 ST / 15 AV NW,B,B1,1600.2,-122.376798,47.69606913,"(47.696069127, -122.376798044)",,,,
33001,0.189565525,987433,1863429,16000387039,2016387039,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/26/2016 0:10,85XX BLOCK OF STONE AV N,N,N3,1800.2014,-122.341064,47.690823,"(47.690823, -122.341064)","ANIMAL - INJURED, DEAD HAZARD",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,10/25/2016 23:26
40848,0.03863291,446077,809336,12000162220,2012162220,200,ALARMS - COMMERCIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,5/26/2012 3:29,68XX BLOCK OF E GREEN LAKE WAY N,J,J1,3600.4005,-122.3271602,47.67844054,"(47.678440544, -122.327160245)",,,,
430,0.571699991,107027,125646,10000406424,2010406424,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,11/22/2010 9:11,26XX BLOCK OF S 135TH ST,Q,Q2,6000.4016,-122.2992735,47.48240873,"(47.482408732, -122.299273492)",,,,
46397,0.557023639,529663,904982,12000317199,2012317199,160,PROWLER,PROWLER,PROWLER,9/18/2012 21:41,25XX BLOCK OF E PIKE ST,C,C3,7700.3016,-122.2994445,47.61413546,"(47.614135461, -122.299444496)",,,,
12163,0.387001189,1145541,2035716,17000238754,2017238754,161,TRESPASS,TRESPASS,TRESPASS,7/2/2017 11:07,21XX BLOCK OF QUEEN ANNE AV N,Q,Q2,6800.2009,-122.35693,47.637775,"(47.637775, -122.35693)",TRESPASS,TRESPASS,TRESPASS,7/2/2017 10:26
30022,0.913830068,752091,1768927,16000224149,2016224149,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,6/24/2016 0:08,40XX BLOCK OF PASADENA PL NE,U,U2,5200.2009,-122.321884,47.656704,"(47.656704, -122.321884)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
36226,0.821648033,265056,560953,11000148544,2011148544,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,5/10/2011 7:41,92XX BLOCK OF FREMONT AVE N,N,N2,1700.2005,-122.3499743,47.69583148,"(47.695831475, -122.349974286)",,,,
36096,0.897948826,1308449,1025102,15000063193,201563193,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2/24/2015 19:57,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.3308075,47.60046424,"(47.600464242, -122.330807499)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
48259,0.94403492,1122900,2006093,17000184450,2017184450,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,5/25/2017 3:13,32XX BLOCK OF SW AVALON WY,W,W2,9900.3007,-122.3742,47.564075,"(47.564075, -122.3742)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,5/25/2017 1:38
28868,0.370135578,731947,2017526,17000205414,2017205414,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,6/8/2017 12:48,30XX BLOCK OF S MYRTLE ST,S,S1,11002.1017,-122.293755,47.538914,"(47.538914, -122.293755)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,6/8/2017 11:36
37163,0.516417052,979807,1647942,16000010835,201610835,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,1/10/2016 8:59,XX BLOCK OF W FULTON ST,Q,Q2,6000.3002,-122.35754,47.645813,"(47.645813, -122.35754)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
10851,0.969469541,1249186,1919159,17000021088,201721088,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,1/18/2017 1:31,15XX BLOCK OF N 115 ST,N,N2,600.402,-122.33809,47.712303,"(47.712303, -122.33809)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
48046,0.993146395,1160974,2188840,17000477075,2017477075,64,SHOPLIFT,THEFT,SHOPLIFTING,12/29/2017 13:30,14XX BLOCK OF S LANE ST,K,K3,9000.2033,-122.31344,47.596653,"(47.596653, -122.31344)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,
2793,0.257230745,690741,1722945,16000143746,2016143746,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,4/26/2016 0:57,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33081,47.600464,"(47.600464, -122.33081)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
42032,0.203586068,626507,1260130,11000026009,201126009,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,1/22/2011 14:20,2XX BLOCK OF 2ND AVE S,K,K3,9200.2014,-122.3315725,47.60047578,"(47.600475775, -122.331572531)",,,,
23745,0.402894716,1389092,1116690,15000194027,2015194027,,,,,,E PIKE ST / BROADWAY,E,E2,7500.4016,-122.3207812,47.61407415,"(47.614074152, -122.320781185)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,6/10/2015 14:14
18731,0.597244629,847510,1813813,16000301444,2016301444,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,8/20/2016 16:12,N 35 ST / N PACIFIC ST,B,B3,5400.2019,-122.33244,47.649174,"(47.649174, -122.33244)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
29914,0.64469714,779872,1828223,16000324582,2016324582,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,9/7/2016 13:52,20XX BLOCK OF NW 60 ST,B,B1,4700.4,-122.38348,47.672367,"(47.672367, -122.38348)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
24579,0.707339443,1371375,2183451,18000025908,201825908,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,1/22/2018 0:55,14XX BLOCK OF BROADWAY,E,E2,8400.1008,-122.32077,47.613518,"(47.613518, -122.32077)",TRESPASS,TRESPASS,TRESPASS,
21998,0.238877946,20993,37149,10000277488,2010277488,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,8/10/2010 1:02,88XX BLOCK OF NESBIT AVE N,N,N2,1800.2003,-122.3434782,47.69327651,"(47.693276509, -122.343478227)",,,,
28336,0.341685644,791862,1771055,16000227833,2016227833,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,6/26/2016 20:57,4XX BLOCK OF 12 AV,G,G1,8600.202,-122.31678,47.605885,"(47.605885, -122.31678)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,
11701,0.70091949,1129086,1916503,17000016378,201716378,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,1/14/2017 1:29,93XX BLOCK OF AURORA AV N,N,N3,1800.3,-122.3446,47.696724,"(47.696724, -122.3446)",TRAFFIC - ASSIST MOTORIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
15838,0.551696206,583708,983661,12000418765,2012418765,161,TRESPASS,TRESPASS,TRESPASS,12/8/2012 0:54,10XX BLOCK OF S JACKSON ST,E,E3,9100.1002,-122.3184307,47.59918656,"(47.599186562, -122.318430715)",,,,
17596,0.726275378,305054,651105,15000054106,201554106,350,HAZARDS,HAZARDS,HAZARDS,2/16/2015 15:37,RAINIER AV S / S DEARBORN ST,G,G3,9000.2033,-122.3115335,47.59587264,"(47.59587264, -122.31153345)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,
21074,0.616973003,765303,1810154,16000294872,2016294872,202,ALACAD - COMMERCIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,8/15/2016 11:25,50XX BLOCK OF WILSON AV S,R,R3,10200.1027,-122.27048,47.556316,"(47.556316, -122.27048)","ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1669,0.931062147,3057,18869,10000250925,2010250925,161,TRESPASS ,TRESPASS,TRESPASS,7/21/2010 12:08,30XX BLOCK OF BEACON AVE S,O,O1,10000.5018,-122.3095167,47.5760722,"(47.576072202, -122.309516725)",,,,
34875,0.188097618,858561,2017757,17000205940,2017205940,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,6/8/2017 18:26,87XX BLOCK OF 15 AV NW,J,J1,1600.3007,-122.3767,47.692787,"(47.692787, -122.3767)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
38510,0.2679742,14611,30633,10000267976,2010267976,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,8/3/2010 1:33,8XX BLOCK OF 1ST AVE,M,M3,8100.1043,-122.3352605,47.6036254,"(47.603625399, -122.335260514)",,,,
21306,0.450231821,138382,386277,11000221137,2011221137,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,7/8/2011 16:12,SW MORGAN ST / 16 AV SW,F,F1,10800.1003,-122.3548884,47.54472705,"(47.544727047, -122.354888398)",,,,
19033,0.653626331,1348410,2135405,17000422035,2017422035,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,11/14/2017 11:56,19XX BLOCK OF 9 AV,D,D2,7300.2024,-122.33508,47.616,"(47.616, -122.33508)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,
969,0.884003043,1342143,1063125,15000117895,2015117895,62,BICYCLE THEFT,THEFT,BIKE,4/11/2015 0:50,10XX BLOCK OF SPRING ST,E,E3,8300.1003,-122.3263468,47.60981959,"(47.60981959, -122.326346826)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,
44174,0.013558731,1466640,2236759,18000118479,2018118479,61,THEFT - AUTO ACCESSORIES,CAR PROWL,CAR PROWL,4/4/2018 18:56,23XX BLOCK OF W ELMORE ST,Q,Q1,5801.4022,-122.38665,47.657627,"(47.657627, -122.38665)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,4/4/2018 17:25
8287,0.929662217,818924,1652886,13000406457,2013406457,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,11/9/2013 4:30,14XX BLOCK OF 10 AV,E,E2,7500.4009,-122.3194407,47.61351259,"(47.61351259, -122.319440727)",,,,
29693,0.839320168,1016284,1812691,16000299431,2016299431,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,8/18/2016 18:04,19XX BLOCK OF 2 AV,M,M1,8002.1002,-122.3411,47.611347,"(47.611347, -122.3411)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
21992,0.562050933,405201,765386,12000096160,201296160,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/30/2012 15:51,NW MARKET ST / NW 54 ST,B,B2,3200.4015,-122.3945109,47.66864596,"(47.668645963, -122.394510903)",,,,
28292,0.047508165,1130235,2092821,17000341503,2017341503,92,RECKLESS BURNING,RECKLESS BURNING,RECKLESS BURNING,9/13/2017 20:06,95XX BLOCK OF ASHWORTH AV N,N,N3,1300.1025,-122.339714,47.698696,"(47.698696, -122.339714)",BURN - RECKLESS BURNING,RECKLESS BURNING,RECKLESS BURNING,
34542,0.677868823,437610,800332,11000361520,2011361520,52,BURGLARY - COMMERCIAL ,COMMERCIAL BURGLARIES,BURGLARY,11/6/2011 17:00,92XX BLOCK OF OLSON PL SW,F,F3,26500.1001,-122.337348,47.52047166,"(47.520471658, -122.337347999)",,,,
42677,0.106804932,227648,485016,11000356296,2011356296,73,AUTO RECOVERY,AUTO RECOVERIES,AUTO THEFTS,11/1/2011 18:14,34XX BLOCK OF 1ST AVE S,O,O2,9300.3049,-122.3342095,47.57270299,"(47.57270299, -122.33420945)",,,,
35692,0.01841922,536102,914145,12000329717,2012329717,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,9/27/2012 21:22,15 AV NW / NW 83 ST,B,B3,3000.5009,-122.3768032,47.68872315,"(47.68872315, -122.376803166)",,,,
13036,0.618667017,43814,60471,10000311441,2010311441,71,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,9/5/2010 20:24,2XX BLOCK OF NE 103RD ST,N,N3,1200.4005,-122.3265477,47.70316546,"(47.703165461, -122.326547682)",,,,
26844,0.926255739,1443945,2072311,17000304623,2017304623,101,"FORGERY, BAD CHECKS",FRAUD CALLS,FRAUD CALLS,8/17/2017 18:41,100XX BLOCK OF COLLEGE WY N,N,N3,1300.1011,-122.334526,47.70233,"(47.70233, -122.334526)",TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,FRAUD CALLS,FRAUD CALLS,
123,0.190586265,1131053,2016988,17000204591,2017204591,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,6/7/2017 20:03,13XX BLOCK OF ALKI AV SW,W,W1,9600.5014,-122.39167,47.59198,"(47.59198, -122.39167)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
21736,0.441042876,243058,538416,11000107969,2011107969,220,MENTAL COMPLAINT,MENTAL CALL,MENTAL HEALTH,4/4/2011 16:59,11XX BLOCK OF MARTIN LUTHER KING JR WAY,G,G3,8800.1002,-122.2962123,47.61227923,"(47.612279233, -122.296212257)",,,,
32274,0.852979101,301494,1680928,16000067409,201667409,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",2/25/2016 16:04,1XX BLOCK OF 27 AV E,C,C3,7700.4009,-122.297264,47.619545,"(47.619545, -122.297264)",PROPERTY - FOUND,"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",2/25/2016 13:09
49552,0.360881773,1408416,1137309,15000223376,2015223376,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,7/2/2015 3:33,47XX BLOCK OF RAINIER AV S,R,R3,10300.4,-122.2864886,47.5601082,"(47.560108203, -122.286488585)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALARMS,SUSPICIOUS CIRCUMSTANCES,7/1/2015 23:25
4384,0.702814842,578099,975423,12000408359,2012408359,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,11/29/2012 19:52,77XX BLOCK OF 58TH AVE NE,L,L3,2200.5001,-122.2662091,47.68563613,"(47.685636131, -122.2662091)",,,,
37543,0.459439118,920127,1561319,15000335487,2015335487,,,,,,1XX BLOCK OF S WASHINGTON ST,K,K2,9200.2023,-122.3335291,47.60088239,"(47.600882391, -122.333529119)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,9/25/2015 8:25
